question_no,source_id,direction,direction_display,transcript,source_audio_url,synthesis_audio_url,review_decision,selected_item_id,checkpoint,target_reference,accent_prediction,target_probability_pct,nisqa_mos,source_original_path,synthesis_original_path,internal_review_comments,item_id,target_ref_path,recall_tgt_hit,source_duration_sec,synthesis_duration_sec,target_duration_sec,target_spksim
Q001,AME001,ame2bri,American to British,THE MAN SHRUGGED HIS BROAD SHOULDERS AND TURNED BACK INTO THE ARABESQUE CHAMBER,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q001__AME001__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q001__AME001__phonos.wav,Selected,ame2bri::AME001::r1_epoch13::slr83_southern_male_som_08784,r1_epoch13,slr83_southern_male_som_08784,british_isles,99.6067762374878,3.9022434,/data/waris/code/PHONOSv2/evaluation/final/american/251/wav/251-118436-0005.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME001/r1_epoch13/slr83_southern_male_som_08784.wav,R6 (epoch 5) | target slr83_southern_female_sof_03397 | pred british_isles | target p=91.6% | NISQA=4.80 | target hit,ame2bri::AME001::r1_epoch13::slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,1,5.31,5.32,12.970666666666666,0.8875935077667236
Q002,AME002,ame2bri,American to British,BE THE RESULTS HOWEVER WHAT THEY MIGHT RANDAL COULD SEE BUT ONE PLAIN COURSE BEFORE HIM NOW,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q002__AME002__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q002__AME002__phonos.wav,Selected,ame2bri::AME002::r1_epoch13::slr83_southern_female_sof_03397,r1_epoch13,slr83_southern_female_sof_03397,british_isles,93.05437207221983,4.537516,/data/waris/code/PHONOSv2/evaluation/final/american/8297/wav/8297-275156-0008.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME002/r1_epoch13/slr83_southern_female_sof_03397.wav,,ame2bri::AME002::r1_epoch13::slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,1,7.84,7.84,4.352,0.8082103729248047
Q003,AME005,ame2bri,American to British,ALL ABOUT HIM WAS A TUMULT OF BRIGHT AND BROKEN COLOR SCATTERED IN BROAD SPLASHES,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q003__AME005__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q003__AME005__phonos.wav,Selected,ame2bri::AME005::r3_epoch06::slr83_southern_male_som_08784,r3_epoch06,slr83_southern_male_som_08784,british_isles,96.08294367790222,3.052253,/data/waris/code/PHONOSv2/evaluation/final/american/7176/wav/7176-88083-0000.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME005/r3_epoch06/slr83_southern_male_som_08784.wav,,ame2bri::AME005::r3_epoch06::slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,1,5.695,5.7,12.970666666666666,0.8384723663330078
Q004,AME003,ame2bri,American to British,WITH ENTREES SERVE CLARETS OR OTHER RED WINES SUCH AS SWISS BORDEAUX HUNGARIAN OR ITALIAN WINES,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q004__AME003__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q004__AME003__phonos.wav,Selected,ame2bri::AME003::r1_epoch13::slr83_southern_male_som_08784,r1_epoch13,slr83_southern_male_som_08784,british_isles,99.51575398445128,4.103218,/data/waris/code/PHONOSv2/evaluation/final/american/652/wav/652-130737-0002.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME003/r1_epoch13/slr83_southern_male_som_08784.wav,,ame2bri::AME003::r1_epoch13::slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,1,7.57,7.58,12.970666666666666,0.8604927062988281
Q005,AME008,ame2bri,American to British,I SOON FOUND OUT THAT HE HAD CAUGHT SIGHT OF THE RELIEF ON THE ROAD AND WAS AFRAID TO SHOOT I QUICKLY MADE UP MY MIND,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q005__AME008__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q005__AME008__phonos.wav,Selected,ame2bri::AME008::r1_epoch13::slr83_southern_female_sof_03397,r1_epoch13,slr83_southern_female_sof_03397,british_isles,98.32029342651369,4.707386,/data/waris/code/PHONOSv2/evaluation/final/american/5694/wav/5694-64029-0007.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME008/r1_epoch13/slr83_southern_female_sof_03397.wav,,ame2bri::AME008::r1_epoch13::slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,1,6.585,6.6,4.352,0.8026537895202637
Q006,AME009,ame2bri,American to British,BREATHING DEEPLY BRION SOFTLY SPOKE THE AUTO HYPNOTIC PHRASES THAT TRIGGERED THE PROCESS,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q006__AME009__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q006__AME009__phonos.wav,Selected,ame2bri::AME009::r6_epoch05::slr83_southern_female_sof_03397,r6_epoch05,slr83_southern_female_sof_03397,british_isles,98.15370440483092,4.7005243,/data/waris/code/PHONOSv2/evaluation/final/american/1272/wav/1272-141231-0026.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME009/r6_epoch05/slr83_southern_female_sof_03397.wav,,ame2bri::AME009::r6_epoch05::slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,1,6.635,6.64,4.352,0.782737672328949
Q007,AME015,ame2bri,American to British,SURELY IT MUST BE BECAUSE WE ARE IN DANGER OF LOVING EACH OTHER TOO WELL OF LOSING SIGHT OF THE CREATOR IN IDOLATRY OF THE CREATURE,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q007__AME015__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q007__AME015__phonos.wav,Selected,ame2bri::AME015::r1_epoch13::slr83_southern_female_sof_03397,r1_epoch13,slr83_southern_female_sof_03397,british_isles,96.90807461738586,4.6628966,/data/waris/code/PHONOSv2/evaluation/final/american/3575/wav/3575-170457-0003.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME015/r1_epoch13/slr83_southern_female_sof_03397.wav,,ame2bri::AME015::r1_epoch13::slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,1,7.595,7.6,4.352,0.7800443172454834
Q009,AME012,ame2bri,American to British,A GENTLE KICK FROM THE TALL BOY IN THE BENCH BEHIND URGED STEPHEN TO ASK A DIFFICULT QUESTION,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q009__AME012__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q009__AME012__phonos.wav,Selected,ame2bri::AME012::r1_epoch13::slr83_southern_male_som_08784,r1_epoch13,slr83_southern_male_som_08784,british_isles,98.85241389274596,4.673462,/data/waris/code/PHONOSv2/evaluation/final/american/1089/wav/1089-134686-0025.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME012/r1_epoch13/slr83_southern_male_som_08784.wav,,ame2bri::AME012::r1_epoch13::slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,1,6.61,6.62,12.970666666666666,0.9134140014648438
Q010,AME018,ame2bri,American to British,A PERFECT BLAZE OF CLOSE RANGE MUSKETRY TOO MOWED THEM DOWN LIKE GRASS,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q010__AME018__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q010__AME018__phonos.wav,Selected,ame2bri::AME018::r1_epoch13::slr83_southern_female_sof_03397,r1_epoch13,slr83_southern_female_sof_03397,british_isles,99.43714737892152,4.7747064,/data/waris/code/PHONOSv2/evaluation/final/american/7976/wav/7976-105575-0022.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME018/r1_epoch13/slr83_southern_female_sof_03397.wav,,ame2bri::AME018::r1_epoch13::slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,1,5.38,5.38,4.352,0.8115230798721313
Q011,AME014,ame2bri,American to British,THEN THEY STARTED ON AGAIN AND TWO HOURS LATER CAME IN SIGHT OF THE HOUSE OF DOCTOR PIPT,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q011__AME014__source.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent/phonos_review_samples/ame2bri/Q011__AME014__phonos.wav,Selected,ame2bri::AME014::r1_epoch13::slr83_southern_female_sof_03397,r1_epoch13,slr83_southern_female_sof_03397,british_isles,97.00541496276855,4.2319703,/data/waris/code/PHONOSv2/evaluation/final/american/1284/wav/1284-1180-0009.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME014/r1_epoch13/slr83_southern_female_sof_03397.wav,,ame2bri::AME014::r1_epoch13::slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,1,6.285,6.3,4.352,0.795062243938446
