direction,direction_display,source_accent,target_accent,shortlist_question_no,source_id,source_speaker_id,utterance_id,transcript,source_original_path,phonos_original_path,seedvc_original_path,tvtsyn_original_path,phonos_item_id,phonos_checkpoint,phonos_target_ref_id,phonos_target_ref_path,phonos_accent_prediction,phonos_target_probability_pct,phonos_nisqa_mos,seedvc_item_id,seedvc_target_ref_id,seedvc_target_ref_path,seedvc_accent_prediction,seedvc_recall_tgt_hit,seedvc_nisqa_mos,tvtsyn_item_id,tvtsyn_accent_prediction,tvtsyn_recall_src_hit,tvtsyn_nisqa_mos,sample_group_id,sample_id,original_audio,original_audio_url,original_duration_sec,original_sha256,phonos_audio,phonos_audio_url,phonos_duration_sec,phonos_sha256,seedvc_audio,seedvc_audio_url,seedvc_duration_sec,seedvc_sha256,tvtsyn_reconstruction_audio,tvtsyn_reconstruction_audio_url,tvtsyn_reconstruction_duration_sec,tvtsyn_reconstruction_sha256
ame2bri,American to British,american,british,Q003,AME005,7176,7176-88083-0000,ALL ABOUT HIM WAS A TUMULT OF BRIGHT AND BROKEN COLOR SCATTERED IN BROAD SPLASHES,/data/waris/code/PHONOSv2/evaluation/final/american/7176/wav/7176-88083-0000.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME005/r3_epoch06/slr83_southern_male_som_08784.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_female_sof_04415/7176/7176-88083-0000.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/american/7176/7176-88083-0000.wav,ame2bri::AME005::r3_epoch06::slr83_southern_male_som_08784,r3_epoch06,slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,british_isles,96.08294367790222,3.052253,seedvc::ame2bri::slr83_southern_female_sof_04415::7176-88083-0000,slr83_southern_female_sof_04415,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_04415.wav,british_isles,1,4.1470823,tvtsyn::ame2bri::7176-88083-0000,north_american,1,4.337082,ame2bri_S01,S01,audio/ame2bri/S01__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S01__original.wav,5.695,eb6831413282d3c2c4f50ae84833715e4cfc26032fd81ebd00688191958ae66a,audio/ame2bri/S01__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S01__phonos.wav,5.7,3b5337872738e10b211e76b00fcfd7cc41f4bd1432c3fa050adf333362ea9a59,audio/ame2bri/S01__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S01__seedvc.wav,5.584399092970521,0506968d9efc4f44c01704366b9ca5d42b0f977a262be0c1aeee6c49809ab1f3,audio/ame2bri/S01__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S01__tvtsyn_reconstruction.wav,5.7,e22e5c9cc8b8a9b917d01bb8a343dfe52c8ae360486d8b42aef7d8db3c878527
ame2bri,American to British,american,british,Q004,AME003,652,652-130737-0002,WITH ENTREES SERVE CLARETS OR OTHER RED WINES SUCH AS SWISS BORDEAUX HUNGARIAN OR ITALIAN WINES,/data/waris/code/PHONOSv2/evaluation/final/american/652/wav/652-130737-0002.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME003/r1_epoch13/slr83_southern_male_som_08784.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_female_sof_03397/652/652-130737-0002.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/american/652/652-130737-0002.wav,ame2bri::AME003::r1_epoch13::slr83_southern_male_som_08784,r1_epoch13,slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,british_isles,99.51575398445128,4.103218,seedvc::ame2bri::slr83_southern_female_sof_03397::652-130737-0002,slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,british_isles,1,4.363609,tvtsyn::ame2bri::652-130737-0002,north_american,1,4.3100176,ame2bri_S02,S02,audio/ame2bri/S02__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S02__original.wav,7.57,3db84d0a4ec5d40045f540776ea190f60b05e6ba6e1e120945855d3f4cd22b3b,audio/ame2bri/S02__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S02__phonos.wav,7.58,36cdc00b9ec456fbecd9a33aecdf52a7e8261b00834ea3a181544c431349ff99,audio/ame2bri/S02__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S02__seedvc.wav,7.569705215419501,d4ddc8e273f105f7586bddb41d6ae7298978f70a9b17e0925de0be00f81aabb4,audio/ame2bri/S02__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S02__tvtsyn_reconstruction.wav,7.58,6355f9f6b30468c508607743a450236dcb6ac0e67513417c3543147c3a9dac97
ame2bri,American to British,american,british,Q005,AME008,5694,5694-64029-0007,I SOON FOUND OUT THAT HE HAD CAUGHT SIGHT OF THE RELIEF ON THE ROAD AND WAS AFRAID TO SHOOT I QUICKLY MADE UP MY MIND,/data/waris/code/PHONOSv2/evaluation/final/american/5694/wav/5694-64029-0007.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME008/r1_epoch13/slr83_southern_female_sof_03397.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/british1/5694/5694-64029-0007.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/american/5694/5694-64029-0007.wav,ame2bri::AME008::r1_epoch13::slr83_southern_female_sof_03397,r1_epoch13,slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,british_isles,98.32029342651369,4.707386,seedvc::ame2bri::british1::5694-64029-0007,british1,/data/waris/code/PHONOSv2/evaluation/speakers/bri/british1.wav,australasian,0,4.8821297,tvtsyn::ame2bri::5694-64029-0007,north_american,1,4.9541445,ame2bri_S03,S03,audio/ame2bri/S03__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S03__original.wav,6.585,7ba57c7f53560bacc99ae3cf19fcfefac8825f083b68464143a3acd09717fb60,audio/ame2bri/S03__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S03__phonos.wav,6.6,75df48aa5ceb70abbd56711a0ca69204a1c24aa9ba6202e6d283febce7a43c18,audio/ame2bri/S03__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S03__seedvc.wav,6.6525170068027215,eefe92d19b38a05d3701cfda119847d40c4ab858a2dea61d306b1cdeda810160,audio/ame2bri/S03__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S03__tvtsyn_reconstruction.wav,6.6,bdc6567091591ca7e8b4e17896c1880c48b71d217e79f5c72c0452b38d20830f
ame2bri,American to British,american,british,Q006,AME009,1272,1272-141231-0026,BREATHING DEEPLY BRION SOFTLY SPOKE THE AUTO HYPNOTIC PHRASES THAT TRIGGERED THE PROCESS,/data/waris/code/PHONOSv2/evaluation/final/american/1272/wav/1272-141231-0026.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME009/r6_epoch05/slr83_southern_female_sof_03397.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_female_sof_04415/1272/1272-141231-0026.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/american/1272/1272-141231-0026.wav,ame2bri::AME009::r6_epoch05::slr83_southern_female_sof_03397,r6_epoch05,slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,british_isles,98.15370440483092,4.7005243,seedvc::ame2bri::slr83_southern_female_sof_04415::1272-141231-0026,slr83_southern_female_sof_04415,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_04415.wav,australasian,0,4.2375183,tvtsyn::ame2bri::1272-141231-0026,british_isles,0,3.876814,ame2bri_S04,S04,audio/ame2bri/S04__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S04__original.wav,6.635,4a2ddfdfd71a7d3acbb0e520a9d5c6f0f55bc6bff814ffe147ae9175a98fb625,audio/ame2bri/S04__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S04__phonos.wav,6.64,e673d8ae85af5d4a304f07c5ad2090217c34a6ca051bc197db9cf85f574368eb,audio/ame2bri/S04__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S04__seedvc.wav,6.466757369614513,44f55a03203cb852def462862f2983792f9f1c43a7b592437e998e754793f4ca,audio/ame2bri/S04__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S04__tvtsyn_reconstruction.wav,6.64,4abaa31bbaef684e9f4113fd49081b071f6176442261c7d505592f42fc9266d6
ame2bri,American to British,american,british,Q008,AME007,7729,7729-102255-0019,TO EMBARRASS THIS DAMAGING EXPOSURE JUDGE LECOMPTE ISSUED A WRIT AGAINST THE EX GOVERNOR ON A FRIVOLOUS CHARGE OF CONTEMPT,/data/waris/code/PHONOSv2/evaluation/final/american/7729/wav/7729-102255-0019.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME007/r1_epoch13/slr83_southern_female_sof_03397.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_female_sof_04415/7729/7729-102255-0019.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/american/7729/7729-102255-0019.wav,ame2bri::AME007::r1_epoch13::slr83_southern_female_sof_03397,r1_epoch13,slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,british_isles,99.67650175094604,4.602579,seedvc::ame2bri::slr83_southern_female_sof_04415::7729-102255-0019,slr83_southern_female_sof_04415,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_04415.wav,british_isles,1,4.6987643,tvtsyn::ame2bri::7729-102255-0019,north_american,1,4.5070267,ame2bri_S05,S05,audio/ame2bri/S05__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S05__original.wav,8.93,bf8183741a4e62deb5888a92dd43e8253ec311d0d1ae61506179988e82ae6a25,audio/ame2bri/S05__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S05__phonos.wav,8.94,8cbe86d7d489e06a60a3a27d66b8da2bcd5c80359afedc48b31995307455964e,audio/ame2bri/S05__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S05__seedvc.wav,8.544943310657596,8ab5568fa4e994e876d3df060f3637abe86e1b91d7789d2d6e55785c2909bd93,audio/ame2bri/S05__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S05__tvtsyn_reconstruction.wav,8.94,77cef0925b6a54f838f68e5e0ee0cfa627a6913f264069f54fd9aeb4d235f727
ame2bri,American to British,american,british,Q009,AME012,1089,1089-134686-0025,A GENTLE KICK FROM THE TALL BOY IN THE BENCH BEHIND URGED STEPHEN TO ASK A DIFFICULT QUESTION,/data/waris/code/PHONOSv2/evaluation/final/american/1089/wav/1089-134686-0025.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME012/r1_epoch13/slr83_southern_male_som_08784.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_male_som_08784/1089/1089-134686-0025.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/american/1089/1089-134686-0025.wav,ame2bri::AME012::r1_epoch13::slr83_southern_male_som_08784,r1_epoch13,slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,british_isles,98.85241389274596,4.673462,seedvc::ame2bri::slr83_southern_male_som_08784::1089-134686-0025,slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,british_isles,1,4.6000304,tvtsyn::ame2bri::1089-134686-0025,north_american,1,4.5023513,ame2bri_S06,S06,audio/ame2bri/S06__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S06__original.wav,6.61,08844bfb979ce8240f332032a4b86bed89703dcdb0379087e9747db278eb60dd,audio/ame2bri/S06__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S06__phonos.wav,6.62,5e64660be9edfc424f711515719ff7529a7e556c28443be2d3a1bff0e028a607,audio/ame2bri/S06__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S06__seedvc.wav,6.896326530612245,e48ed799fdee0f976eb2b5c7d78f9077a27267de2890df59814e36263f283c96,audio/ame2bri/S06__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S06__tvtsyn_reconstruction.wav,6.62,0e05b346ea041d154beb4af86d24d12a56c9280ed5671225b9b223a7bf76202d
ame2bri,American to British,american,british,Q011,AME014,1284,1284-1180-0009,THEN THEY STARTED ON AGAIN AND TWO HOURS LATER CAME IN SIGHT OF THE HOUSE OF DOCTOR PIPT,/data/waris/code/PHONOSv2/evaluation/final/american/1284/wav/1284-1180-0009.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME014/r1_epoch13/slr83_southern_female_sof_03397.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_male_som_00610/1284/1284-1180-0009.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/american/1284/1284-1180-0009.wav,ame2bri::AME014::r1_epoch13::slr83_southern_female_sof_03397,r1_epoch13,slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,british_isles,97.00541496276855,4.2319703,seedvc::ame2bri::slr83_southern_male_som_00610::1284-1180-0009,slr83_southern_male_som_00610,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_00610.wav,north_american,0,3.7061098,tvtsyn::ame2bri::1284-1180-0009,north_american,1,4.142432,ame2bri_S07,S07,audio/ame2bri/S07__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S07__original.wav,6.285,8e77c3802c363ee0d0acbbb5f579396b028d31edee1e06162abb800140425fa0,audio/ame2bri/S07__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S07__phonos.wav,6.3,25f69e047d04145028e1d1d56e5720fc1eea98b909ef60a4fb8b4353a8f72b33,audio/ame2bri/S07__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S07__seedvc.wav,6.15328798185941,42346e1de42ebe59e74ea7f389658ac654d0d911b5429621ba602461faa7df10,audio/ame2bri/S07__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S07__tvtsyn_reconstruction.wav,6.3,29eaa25608ad22b54ed2d25073f17f33fe4d618b92c8a95bb3b890f324b01316
ame2bri,American to British,american,british,Q014,AME027,1320,1320-122617-0019,UNCAS OCCUPIED A DISTANT CORNER IN A RECLINING ATTITUDE BEING RIGIDLY BOUND BOTH HANDS AND FEET BY STRONG AND PAINFUL WITHES,/data/waris/code/PHONOSv2/evaluation/final/american/1320/wav/1320-122617-0019.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME027/r1_epoch13/slr83_southern_female_sof_03397.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_female_sof_03397/1320/1320-122617-0019.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/american/1320/1320-122617-0019.wav,ame2bri::AME027::r1_epoch13::slr83_southern_female_sof_03397,r1_epoch13,slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,british_isles,98.1746792793274,4.5606465,seedvc::ame2bri::slr83_southern_female_sof_03397::1320-122617-0019,slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,australasian,0,4.172582,tvtsyn::ame2bri::1320-122617-0019,north_american,1,4.1596303,ame2bri_S08,S08,audio/ame2bri/S08__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S08__original.wav,8.23,b32d2f28c39ad5e98d4b1ed30b4d06e1a03de5ee0e08f61bbe988868a123d173,audio/ame2bri/S08__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S08__phonos.wav,8.24,8381ba021a68e06de96fb78d3f0be92b4cd312789e2a6069f96cf768f8271d26,audio/ame2bri/S08__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S08__seedvc.wav,8.092154195011338,85d01dfc077c58a9bf3be5be29a2f0ed9a35de9ce2844eede84a7cd8e2fc45bd,audio/ame2bri/S08__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S08__tvtsyn_reconstruction.wav,8.24,378ec479c6322a5207e311e42ab09d3cd34aa89605a71969231900be65d3dac6
ame2bri,American to British,american,british,Q016,AME029,2086,2086-149220-0017,AH BUT THESE HENS ANSWERED THE YOUNG MAN THESE HENS OF ARISTOCRATIC LINEAGE WOULD SCORN TO UNDERSTAND THE VULGAR LANGUAGE OF A BARN YARD FOWL,/data/waris/code/PHONOSv2/evaluation/final/american/2086/wav/2086-149220-0017.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME029/r1_epoch13/slr83_southern_female_sof_03397.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_male_som_08784/2086/2086-149220-0017.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/american/2086/2086-149220-0017.wav,ame2bri::AME029::r1_epoch13::slr83_southern_female_sof_03397,r1_epoch13,slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,british_isles,99.89894032478333,4.7406073,seedvc::ame2bri::slr83_southern_male_som_08784::2086-149220-0017,slr83_southern_male_som_08784,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_male_som_08784.wav,british_isles,1,4.643158,tvtsyn::ame2bri::2086-149220-0017,north_american,1,4.5655203,ame2bri_S09,S09,audio/ame2bri/S09__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S09__original.wav,8.7,c1335f186faf81f3f2b582175cd773e510f2bbdf52f2f68d631e71232305c102,audio/ame2bri/S09__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S09__phonos.wav,8.7,d779c353fe20af59b9ed0c9d4499ece2d5c893840a0250e677330f226eeca28d,audio/ame2bri/S09__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S09__seedvc.wav,8.835192743764173,824f3f76e00be3f0e505e9f0d53fb4c3faa77f717ed5c0487e858a43c8678f78,audio/ame2bri/S09__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S09__tvtsyn_reconstruction.wav,8.7,005ed03d7b3f139392ab5a07a7c36c26be8a563d601154326fdcfbc6b3dff19b
ame2bri,American to British,american,british,Q018,AME035,5338,5338-284437-0031,IN ALL OUR HISTORY YOU ARE THE FIRST PEOPLE FROM OUTSIDE OUR BORDERS WHO HAVE EVER STEPPED A FOOT IN OUR LAND,/data/waris/code/PHONOSv2/evaluation/final/american/5338/wav/5338-284437-0031.wav,/data/waris/code/PHONOSv2/evaluation/matched_subjective/phonos_candidate_review/audio/ame2bri/AME035/r3_epoch06/slr83_southern_female_sof_03397.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/seedvc/full/ame2bri/slr83_southern_female_sof_03397/5338/5338-284437-0031.wav,/data/waris/code/PHONOSv2/evaluation/generated_samples/tvtsyn_reconstruction/full/american/5338/5338-284437-0031.wav,ame2bri::AME035::r3_epoch06::slr83_southern_female_sof_03397,r3_epoch06,slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,british_isles,96.7631220817566,3.799655,seedvc::ame2bri::slr83_southern_female_sof_03397::5338-284437-0031,slr83_southern_female_sof_03397,/data/waris/code/PHONOSv2/evaluation/speakers/bri/slr83_southern_female_sof_03397.wav,british_isles,1,4.073677,tvtsyn::ame2bri::5338-284437-0031,north_american,1,4.0744667,ame2bri_S10,S10,audio/ame2bri/S10__original.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S10__original.wav,7.75,7c482935e9727bbe51038292cebeec8a799217e0f3655b335401d8f25bbc3a2d,audio/ame2bri/S10__phonos.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S10__phonos.wav,7.76,cab76493b261f51dd6fe4fe08dfc233bd456312f198849bc83c3ac693df2afb2,audio/ame2bri/S10__seedvc.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S10__seedvc.wav,7.174965986394557,c91e9dfcefc20b0e7cda649b403db3dce8c2b89028bdb23b6e28d405e2b2c898,audio/ame2bri/S10__tvtsyn_reconstruction.wav,https://anonymousis23.github.io/UserStudy/PHONOS-TASLP26/accent_new/audio/ame2bri/S10__tvtsyn_reconstruction.wav,7.76,2291d40dbd7934ce73497a74bf1d5f5a8cc8711bb9779d2f4067a26c59d3e4ac
